a la mode,[B:lB:5mEud],"adj.流行的,时髦的,加冰淇淋的",
conservative,[kEn5sE:vEtiv],"adj.保守的,守旧的;n.保守派", 
conservatoire,[kEn5sE:vEtwB:],"n.公立音乐学校,艺术学校", 
conservatory,[kEn5sE:vEtri],"n.温室,音乐学校",来自conserve（保存，保养）*参考：conservative（保存的，防腐的） 
considerable,[kEn5sidErEbl],"adj.相当大(或多)的,值得考虑的,相当可观的", 
considerably,[kEn5sidErEbEli],adv.相当地, 
considerate,[kEn5sidErit],adj.考虑周到的,in（不）＋considerate（体谅的，周到的） 
considerately,[],"adv.体贴地,体谅地", 
consign,[kEn5sain],"vt.托运,委托",con＋sign（签名，封存）→签完名后交托→托运 
consistent,[kEn5sistEnt],"adj.一致的,调和的,坚固的,[数、统]相容的", 
consolation,[7kCnsE5leiFEn],"n.(被)安慰,起安慰作用的人或事物", 
consolatory,[kEn5sClEtEri],"adj.慰问的,可藉慰的", 
console,[kEn5sEul],"vt.安慰,藉慰;n.[计]控制台",con＋sole（孤单）→大家孤单→同病相怜→安慰*同根词：solitude（孤独） 
consolidate,[kEn5sClideit],v.巩固,con＋solid（结实）＋ate→巩固*同根词：solidity（团结，凝固） 
consolidation,[kEn7sCli5deiFEn],"n.巩固,合并", 
consonance,[5kCnsEnEns],"n.一致,调和,[乐]协和音程,[韵]和音", 
consortium,[kEn5sC:tjEm],"n.社团,协会,联盟,(国际)财团,[律]配偶的权利,<美>大学联盟协定", 
conspicuous,[kEn5spikjuEs],adj.显著的,con＋spic＝spect（看）＋uous→大家看到→显著的*同根词：perspicacious（独具慧眼的） 
conspiracy,[kEn5spirEsi],"n.共谋,阴谋", 
conspire,[kEn5spaiE],"v.共谋,阴谋,(指事件)凑合起来",con＋spire（呼吸）→共同呼吸→搞阴谋 
constancy,[5kCnstEnsi],"n.不屈不挠,坚定不移,恒久不变的状态或性质", 
constant,[5kCnstEnt],"n.[数、物]常数,恒量;adj.不变的,持续的,坚决的",in（不）＋constant（不变的） 
constantly,[5kCnstEntli],"adv.不变地,经常地,坚持不懈地", 
constellation,[kCnstE5leiFEn],"n.[天]星群,星座,灿烂的一群",con＋stell（星星）＋ation→星星在一起→星座、星群*同根词：stellar（星的，恒星的） 
constituency,[kEn5stitjuEnsi],"n.(选区的)选民,(一批)顾客,支持者,赞助者", 
constituent,[kEn5stitjuEnt],"n.委托人,要素;adj.有选举权的；有宪法制定［修改］权的",con＋stit＝stat（站）＋uent→站在一起→成份*同根词：institute（创立，学院），constitution（宪法，构成） 
constitute,[5kCnstitju:t],"vt.制定(法律),建立(政府),组成,任命", 
constitution,[7kCnsti5tju:FEn],"n.宪法,构造,体质,体格,国体,章程,惯例", 
constitutional,[7kCnsti5tju:FEnEl],"adj.构成的,增强体质的,宪法的,拥护宪法的", 
constrain,[kEn5strein],"vt.强迫,抑制,拘束", 
constraint,[kEn5streint],"n.约束,强制,局促", 
construct,[kEn5strQkt],"vt.建造,构造,创立", 
constructive,[kEn5strQktiv],adj.建设性的, 
consulate,[5kCnsjulit],"n.领事,领事馆,领事任期,领事的职位、权力和职责", 
consult,[kEn5sQlt],"v.商量,商议,请教,参考,考虑", 
consultant,[kEn5sQltEnt],"n.顾问,商议者,咨询者", 
consultation,[7kCnsEl5teiFEn],"n.请教,咨询,磋商,[医]会诊", 
consultative,[kEn5sQltEtiv],adj.咨询的, 
consume,[kEn5sju:m],"vt.消耗,消费,消灭,大吃大喝,吸引;vi.消灭,毁灭", 
consumption,[kEn5sQmpFEn],"n.消费,消费量,肺病", 
contagious,[kEn5teidVEs],"adj.传染性的,会感染的",con＋tag（接触）→ious→接触传染比较：contiguous（邻近的） 
contaminate,[kEn5tAmineit],v.污染, 
contamination,[kEn7tAmi5neiFEn],"n.玷污,污染,污染物", 
contemplate,[5kCntempleit],"v.凝视,沉思,预期,企图",con＋templ（思考，观察）＋ate→全心思考→深思*参考temple（太阳穴，庙宇） 
contemplation,[7kCntem5pleiFEn],"n.注视,沉思,预期,企图,打算", 
contemplative,[5kCntempleitiv],"adj.沉思的,冥想的,[宗]祈祷的", 
contemporary,[kEn5tempErEri],"n.同时代的人;adj.当代的,同时代的", 
contempt,[kEn5tempt],"n.轻视,轻蔑,耻辱,不尊敬,[律]藐视法庭(或国会)", 
contend,[kEn5tend],"v.斗争,竞争,主张", 
contention,[kEn5tenFEn],"n.争夺,争论,争辩,论点", 
contest,[5kCntest],"n.论争,竞赛;v.,争论,争辩,竞赛,争夺",in（不）＋contest（争论）＋able→无可争辩的 
context,[5kCntekst],"n.上下文,文章的前后关系", 
contingent,[kEn5tindVEnt],"adj.可能发生的,附随的,暂时的;n.偶然的事情,分遣队", 
continuation,[kEn7tinju5eiFEn],"n.继续,续集,延长,延长物,扩建物,附加部分,(报刊等的)续刊、增刊,续篇", 
continuity,[7kCnti5nju(:)iti],"n.连续性,连贯性", 
continuous,[kEn5tinjuEs],"adj.连续的,持续的", 
continuously,[kEn5tinjuEsli],"adv.不断地,连续地", 
continuum,[kEn5tinjuEm],"n.连续统一体,连续统,闭联集", 
contort,[kEn5tC:t],"vt.扭曲,歪曲",con＋tort（弯曲）→全部弯曲→扭曲*同根词：distort（歪曲），tortuous（弯弯曲曲的） 
contraband,[5kCntrE7bAnd],"n.违法交易,违禁品,走私;adj.禁运的,非法买卖的", 
contradict,[kCntrE5dikt],"vt.同...矛盾,同...抵触", 
contradiction,[7kCntrE5dikFEn],"n.反驳,矛盾", 
contradictory,[7kCntrE5diktEri],"adj.反驳的,反对的,抗辩的;n.矛盾因素,对立物", 
contravene,[7kCntrE5vi:n],v.违反;抵触, 
contribute,[kEn5tribju:t],"v.捐助,捐献,贡献,投稿", 
contributor,[kEn5tribju(:)tE],"n.贡献者,捐助者,投稿者", 
contrive,[kEn5traiv],"v.发明,设计,图谋",con＋tri（反）＋ve＝vene（走）→（和普通人）反着走→设计（新东西），*参考：trivial（琐碎的） 
controversial,[7kCntrE5vE:FEl],"adj.争论的,争议的", 
controversy,[5kCntrEvE:si],"n.论争,辩论,论战", 
convene,[kEn5vi:n],"v.召集,集合", 
convenience,[kEn5vi:njEns],"n.便利,方便,有益,有用的,方便的用具、机械、安排等", 
convention,[kEn5venFEn],"n.大会,协定,习俗,惯例",来自convention（传统习俗） 
conventional,[kEn5venFEnl],"adj.惯例的,常规的,习俗的,传统的",来自convention（传统习俗） 
conventionally,[],"adv.按照惯例,照常套,照老例", 
converge,[kEn5vE:dV],"v.聚合,集中于一点;vt.会聚",con＋verge（转）→转到一起→会聚*同根词：diverge（分歧，离题） 
convergence,[kEn`v :dVEns],"n.集中,收敛", 
converse,[kEn5vE:s],"n.相反的事物,倒,逆行;adj.相反的,颠倒的;vi.谈话,交谈,认识", 
conversely,[5kCnv :sli],"adv.倒地,逆地", 
conversion,[kEn5vE:FEn],"n.变换,转化",con＋vert（转）→一起转入（新的信仰）． 
convert,[kEn5vE:t],"n.皈依者;vt.使转变,转换...,使...改变信仰", 
convex,[5kCn5veks],"adj.表面弯曲如球的外侧,凸起的",*参考：concave（凹入），比较：vex（使…苦恼） 
convey,[kEn5vei],"vt.搬运,传达,转让", 
conveyance,[kEn5veiEns],"n.运输,财产让与,运输工具", 
convict,[5kCnvikt],"vt.证明...有罪,宣告...有罪;n.罪犯", 
conviction,[kEn5vikFEn],"n.深信,确信,定罪,宣告有罪",con＋vict（征服）→征服罪犯→定罪。尤其注意，conviction“坚信”一意*同根词：victory（胜利），invincible（无敌的） 
cooker,[5kukE],"n.炊具,蒸(煮)机,(非生吃的)为烹食所种水果", 
cookery,[5kukEri],n.烹调术, 
cooperative,[kEu5CpErEtiv],"adj.合作的,协力的", 
coordinate,[kEu5C:dinit],"n.同等者,同等物,坐标(用复数);adj.同等的,并列的;vt.调整,整理", 
coordination,[kEu7C:di5neiFEn],"n.同等,调和", 
copyright,[5kCpirait],"n.版权,著作权", 
coral,[5kCrEl],"n.珊瑚,珊瑚虫", 
cordial,[5kC:diEl;5kC:dVEl],"n.兴奋剂,兴奋性饮料;adj.热忱的,诚恳的,兴奋的", 
core,[kC:],"n.果核,中心,核心",score作为“分数、得分”大家都很熟悉 
cork,[kC:k],"n.软木塞,软木,(用塞子)塞住", 
corkage,[5kC:kidV],n.拔瓶塞, 
corporal,[5kC:pErEl],"n.<美>下士;adj.肉体的,身体的", 
corporate,[5kC:pErit],"adj.社团的,法人的,共同的,全体的",corpor（躯体）＋al→身体的*同根词：incorporation（合并，公司） 
corporation,[7kC:pE5reiFEn],"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮", 
corpse,[kC:ps],n.尸体, 
corpus,[5kC:pEs],"n.尸体,文集,(某项基金的)本金",corp（躯体）＋us→全身→全集注意不要和corpse（尸体）相混 
correlate,[5kCrileit],vt.使相互关联;vi.和...相关,cor＋relate（相关）→共同相关→相关的事物 
correlation,[7kCri5leiFEn],"n.相互关系,相关(性)", 
correspond,[kCris5pCnd],"vi.符合,协调,通信,相当,相应",cor－respond（反应）＋ent→有共同反应→符合的，一致的*参考：responsibility（责任） 
correspondence,[7kCris5pCndEns],"n.相应,通信,信件", 
correspondent,[7kCris5pCndEnt],"n.通讯记者,通信者",cor－respond（反应）＋ent→有共同反应→符合的，一致的*参考：responsibility（责任） 
corrode,[kE5rEud],"v.使腐蚀,侵蚀", 
corrupt,[kE5rQpt],"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的;vt.使腐烂,腐蚀,使恶化;vi.腐烂,堕落", 
corruption,[kE5rQpFEn],"n.腐败,贪污,堕落", 
cosmetic,[kCz5metik],n.化妆品;adj.化妆用的, 
cosmic,[5kCzmik],adj.宇宙的, 
cosmopolitan,[7kCzmE5pClitEn],"n.四海为家的人,世界主义者;adj.世界性的,全球(各地)的", 
costume,[5kCstju:m7-5tju:m],"n.装束,服装",来自（custom习俗），按习俗要求穿的服装（putoncostumeaccordingtocustom），分割*记忆：cost（化费）＋ume，化钱的东西→服装 
council,[5kaunsil],"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子", 
council,[5kaunsil],"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子", 
counsel,[5kaunsEl],"n.讨论,商议,辩护律师;vt.劝告,忠告", 
counsellor,[5kaunsElE],"n.顾问,律师,辅导员", 
countdown,[5kaunt7daun],n.倒数计秒, 
counteract,[7kauntE5rAkt],"vt.抵消,中和,阻碍",counter（反）＋act（动作）→消除 
counterfeit,[5kauntEfit],"n.adj.赝品,伪造品,伪造的,假冒的;vt.伪造,假冒",counter（反）＋feit（做＝fact）→反着做→伪造 
counterpart,[5kauntEpB:t],"n.副本,极相似的人或物,配对物", 
court-martial,[kC:t5mB:F(E)l],n.军事法庭;vt.交军事法庭审判, 
courteously,[],"adv.有礼貌地,亲切地", 
courtesy,[5kE:tisi75kC:-],"n.谦恭,允许,礼貌", 
courtship,[5kC:tFip],"n.求爱,求爱时期", 
coverage,[5kQvEridV],n.复盖, 
covert,[5kQvEt],"adj.隐蔽的,偷偷摸摸的,[律]在丈夫保护下的;n.掩蔽处,隐藏处",cover（遮盖）＋t→盖住的→秘密的*参考：overt（公开的） 
coward,[5kauEd],"n.懦弱的人,胆小的人",cow（吓唬）＋ard（人）→被吓坏的人→胆小鬼＋ice→胆怯*参考：cower（畏缩，抖缩） 
cowardice,[5kauEdis],"n.怯懦,胆小",cow（吓唬）＋ard（人）→被吓坏的人→胆小鬼＋ice→胆怯*参考：cower（畏缩，抖缩） 
cowardly,[5kauEdli],adv.胆怯地, 
crack,[krAk],"n.裂缝,噼啪声;v.(使)破裂,裂纹,(使)爆裂;adj.最好的,高明的", 
crackle,[5krAkl],"n.劈啪响,裂纹;vi.(使)发劈啪声", 
cradle,[5kreidl],"n.摇篮,发源地,支船架;vt.将...放在摇篮内", 
craft,[krB:ft],"n.工艺,手艺",来自craft（手腕，技巧）*参考：craftsman（手艺人） 
craftsman,[5krB:ftsmEn],"n.工匠,手艺精巧的人,艺术家", 
cram,[krAm],v.填满, 
crash,[krAF],"n.碰撞,坠落,坠毁,撞击声,爆裂声;v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台", 
crave,[kreiv],"v.恳求,渴望", 
craven,[5kreivEn],"n.懦夫,胆小鬼,怯懦者;adj.怯懦的,畏缩的,胆小的", 
crawl,[krC:l],"vi.爬行,蠕动,徐徐行进;n.爬行,蠕动,缓慢的行进",s＋crawl（爬）→乱爬→乱写 
crayon,[5kreiEn],"n.有色粉笔,蜡笔,粉笔画",和canyon（峡谷）一起*记。 
craze,[kreiz],n.狂热, 
creak,[kri:k],n.吱吱响声;v.吱吱作响, 
crease,[kri:s],"n.折缝,折痕;v.折,弄皱",和create（创造，引起）一起*记，引起折缝（createacrease）。比较：grease（油脂） 
creative,[kri(:)5eitiv],adj.创造性的, 
creativity,[Akri:ei`tivEti],"n.创造力,创造", 
creator,[kri:5eitE(r)],"n.[计]创建者,创作者", 
creature,[5kri:tFE],"n.人,动物,傀儡,创造物", 
credential,[kri5denFEl],"n.外交使节所递的国书,信任壮", 
credit,[5kredit],"n.信任,信用,声望,荣誉,[财务]贷方,银行存款;vt.相信,信任,把...归给",credit（信任）＋able→值得信任的→可信的 
creep,[kri:p],"vi.爬,蹑手蹑脚,蔓延", 
crescent,[5kresnt],"n.新月,月牙;adj.新月形的,逐渐增加的", 
crisp,[krisp],"adj.脆的,易碎的", 
crisscross,[5kriskrCs],n.十字形;adj.十字形的;adv.十字形地;vi.交叉往来;vt.画十字形于, 
criterion,[krai5tiEriEn],"n.(批评判断的)标准,准据,规范", 
critic,[5kritik],"n.批评家,评论家,吹毛求疵者",hyper（过度）＋critical（批评的）→过于批评的→苛求的 
critical,[5kritikEl],"adj.评论的,鉴定的,批评的,危急的,临界的",hyper（过度）＋critical（批评的）→过于批评的→苛求的 
criticism,[5kritisiz(E)m],"n.批评,批判", 
criticize,[5kritisaiz],"v.批评,责备", 
crockery,[5krCkEri],"n.陶器,瓦器", 
crocodile,[5krCkEdail],"n.鳄鱼,鳄鱼皮", 
crook,[kruk],"n.钩状物,(河、道的)弯处,<美口>骗子;vt.使弯曲,诈骗;vi.弯曲", 
crooked,[5krukid],"adj.弯曲的,拐骗的,不老实的",注意不要和creek（小河）相混 
crossbreed,[5krCsbri:d],"n.[生物]杂种;v.异种交配,培育杂种,(使)杂交", 
crossing,[5krCsiN],"v.横越;n.横越,交叉口", 
crossword,[5krCswE:d],n.纵横字谜, 
crouch,[5krautF],"vi.蜷缩,蹲伏",注意不要和couch（长沙发）相混 
crucial,[5kru:FiEl75kru:FEl],adj.至关紧要的, 
crude,[kru:d],"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的;n.天然的物质",crud（粗糙）＋e→未提炼的 
cruel,[5kruEl],"adj.残酷的,悲惨的,使痛苦的", 
cruise,[kru:z],"vi.巡游,巡航;n.巡游,巡航", 
crumble,[5krQmbl],"v.弄碎,粉碎,崩溃;n.面包屑", 
crunch,[krQntF],"v.嘎扎嘎扎的咬嚼,压碎,扎扎地踏过;n.咬碎,咬碎声,扎扎地踏", 
crunchy,[5krQntFi],"adj.发嘎吱嘎吱声的,易碎的", 
crush,[krQF],"vt.压碎,碾碎,压服,压垮,粉碎,(使)变形", 
crust,[krQst],"n.外壳,硬壳,面包皮;vt.盖以硬皮;vi.结硬皮",crust（壳）＋acean（…类的）→甲壳类的（动物）*参考：crusty（有外壳的，顽固的） 
crutch,[krQtF],"n.(跛子用的)拐杖,支撑,帮助;vt.支撑", 
crystal,[5kristl],"adj.结晶状的;n.水晶,水晶饰品,结晶,晶体", 
crystallise,[`kristElaiz],v.<主英>=crystallize, 
cube,[kju:b],"n.立方体,立方", 
cubic,[5kju:bik],"adj.立方体的,立方的", 
cuddle,[5kQdl],v.拥抱,注意不要和puddle（水坑）相混。 
cue,[kju:],"n.暗示,提示,球杆",barb(倒钩)+ecue→用倒钩挂上肉烤→烤肉架*参考:barb(倒钩) 
cuisine,[kwi(:)5zi:n],"n.厨房烹调法,烹饪,烹调风格", 
culminate,[5kQlmineit],v.达到顶点, 
cultivate,[5kQltiveit],"vt.培养,耕作",cult（培养种植）＋ivate（表示动作）→种植*同根词：cultivable（可培养的），cultured（有教养的） 
cultivation,[7kQlti5veiFEn],"n.培养,教养,耕作,中耕", 
cumulative,[5kju:mjulEtiv],adj.累积的, 
cunning,[5kQniN],"adj.狡猾的,巧妙的,<美>漂亮的,可爱的;n.狡猾,诡诈", 
curable,[5kjuErEb(E)l],"adj.可医治的,医得好的",in（不）＋curable（可治疗的） 
curb,[kE:b],n.路边,比较curd（凝乳），curt（无礼的） 
cure,[kjuE],"v.治愈,治疗;n.治愈,痊愈", 
curfew,[5kE:fju:],"n.(中世纪规定人们熄灯安睡的)晚钟声,打晚钟时刻,宵禁令(时间)", 
curiosity,[7kjuEri5Csiti],n.好奇心, 
curious,[5kjuEriEs],"adj.好奇的,求知的,古怪的,爱挑剔的", 
curiously,[],adv.好奇地, 
curl,[kE:l],v.(使)卷曲, 
currency,[5kQrEnsi],n.流通, 
current,[5kQrEnt],"adj.当前的,通用的,流通的,现在的,草写的,最近的;n.涌流,趋势,电流,水流,气流",con＋current（发生的）→共同发生的*参考：occurrence（发生的事件） 
currently,[5kQrEntli],"adv.普遍地,通常地,现在,当前", 
curriculum,[kE5rikjulEm],n.课程, 
curriculum vitae,[5vi:tai],"n.履历,简历", 
curve,[kE:v],"n.曲线,弯曲,[棒球]曲线球,[统]曲线图表;vt.弯,使弯曲;vi.成曲形", 
cushion,[5kuFEn],"n.垫子,软垫,衬垫;v.加衬垫", 
custodian,[kQs5tEudjEn],n.管理人,custo（保管）＋dy→监护。比较*记忆：custom（习俗） 
custody,[5kQstEdi],n.保官, 
custom,[5kQstEm],"n.习惯,风俗,<动词单用>海关,(封建制度下)定期服劳役,缴纳租税,自定义,<偶用作>关税;v.定制,承接定做活的", 
customary,[5kQstEmEri],"adj.习惯的,惯例的", 
customize,[kQstEmaiz],"v.[计]定制,用户化", 
customs,[],"n.进口税,海关", 
cute,[kju:t],"adj.可爱的,聪明的,伶俐的,装腔作势的", 
cutlery,[5kQtlEri],n.餐具, 
cycle,[5saikl],"n.周期,循环,自行车,一段时间,整套,(电学)周波;vi.循环,轮转,骑自行车;vt.使循环,使轮转", 
cyclic,[5saiklik],"轮转的,循环的", 
cyclist,[5saiklist],n.骑脚踏车的人, 
cyclone,[5saiklEun],"n.旋风,飓风,暴风,龙卷风,[气]气旋",cycl（圆，转）＋one→转的东西→旋风*同根词：cyclamate（糖精），cyclopedic（百科全书的，广泛的） 
cylinder,[5silindE],"n.圆筒,圆柱体,汽缸,柱面", 
cylindrical,[si5lindrik(E)l],[计]圆柱的, 
cynic,[5sinik],n.愤世嫉俗者, 
cynical,[5sinikEl],adj.愤世嫉俗的, 
cynicism,[5sinisizEm],"n.犬儒主义,玩世不恭,冷嘲热讽",来自古希腊一哲学流派“犬儒主义”。cyn原意为“犬”*参考：cynophobia（恐犬病） 
dabble,[5dAbl],"v.弄湿,弄水,涉足",不要和babble（说蠢话）相混 
daft,[dB:ft],adj.愚蠢的, 
dainty,[5deinti],"n.适口的食物,美味;adj.秀丽的,优美的,讲究的,挑剔的,适口的", 
dairy,[5dZEri],"n.牛奶场,奶品场,售牛奶,奶油,鸡蛋等的商店,奶制品", 
dais,[5deiis],"n.台,讲台",lacka（缺少）＋dais（＝daisy漂亮姑娘）＋ical→缺少漂亮姑娘的→（使人）无精打采的 
dally,[5dAli],"v.玩弄,戏弄,延误", 
damnable,[5dAmnEbl],"adj.该死的,可诅咒的", 
damp,[dAmp],"n.湿气;adj.潮湿的;vt.使潮湿,阻尼,使衰减,使沮丧,控制,抑止",来自damp（潮湿的）＋en→使…潮湿 
dandruff,[5dAndrQf],n.头皮屑, 
dandy,[5dAndi],"n.花花公子;adj.服装华丽的,极好的,上等的", 
