abandon,[E5bAndEn],"vt.放弃, 遗弃//n.放任, 狂热"
fatigue,[fE5ti:g],"n.疲乏, 疲劳, 累活, [军]杂役//vt.使疲劳, 使心智衰弱//vi.疲劳"
fault,[fC:lt],"n.过错, 缺点, 故障, 毛病//vt.挑剔//vi.弄错"
faulty,[5fC:lti],"adj.有过失的, 有缺点的, 不完美的, 不完善的"
favour,[5feivE],"n.亲切, 宠爱"
favourable,[5feiErEbl],"adj.赞成的, 称许的, 有利的, 顺利的//n.有利"
favourite,[5feivErit],"adj.特别喜爱的, 中意的//n.特别喜爱的(或物)养"
fear,[fiE],"n.恐怖, 害怕, 担心, 敬畏//v.害怕, 畏惧, 为...担心, 敬畏(神等)地,"
fearful,[5fiEful],"adj.可怕的, 吓人的, 恐怕的, 严重的"
feasible,[5fi:zEbl],"adj.可行的, 切实可行的"
feather,[5feTE],"n.翎毛, 轻的东西, 羽毛//vi.长羽毛//vt.用羽毛装饰, 射掉(飞禽)的羽毛"
feature,[5fi:tFE],"n.面貌的一部分(眼,口,鼻等)特征, 容貌, 特色, 特写//vt.是...的特色, 特写, 放映//vi.起重要作用"
February,[5februEri],"n.二月(略作Feb), 羽毛"
federal,[5fedErEl],"adj.联邦的, 联合的, 联邦制的, 同盟的//n.(南北战争时期)北部联邦同盟盟员//北京连邦软件产业发展公司，国内主要的正版软件经销商"
fee,[fi:],"n.费(会费、学费等), 酬金"
feed,[fi:d],"n.饲养, 饲料, (动物或婴儿的)一餐//vt.喂养, 饲养, 放牧, 靠...为生//vi.吃东西, 流入"
feedback,[5fi:dbAk],"n.[无]回授, 反馈, 反应"
feel,[fi:l],"vt.摸, 触, 试探, 感觉, 觉得, 触摸, 以为//vi.有知觉, (人)有某种感觉, 摸索, 同情//n.感觉, 觉得, 触摸"
feeling,[5fi:liN],"n.触觉, 知觉, 感觉, 情绪, 同情//adj.富于感情的, 富于同情心的, 衷心的, 有同情心的, 有感觉的, 仁慈的"
fellow,[5felEu],"n.人, 家伙, 伙伴, 学会特别会员, 朋友, 同事//adj.同伴的, 同事的, 同道的"
female,[5fi:meil],"n.女性, 女人, 雌兽//adj.女性的, 女子的, 妇女的, 雌的, 柔弱的, (声, 色)柔和的"
fence,[fens],"n.栅栏, 围墙, 剑术//vt.用篱笆围住, 练习剑术, 防护//vi.击剑, 围以栅栏, 跳过栅栏, 搪塞"
fertile,[5fE:tail; 5fE:til],"adj.肥沃的, 富饶的, 能繁殖的"
fertilizer,[5fE:ti7laizE],"n.肥料(尤指化学肥料), [动]受精媒介物"
festival,[5festEvEl],"n.节日, 喜庆日, 音乐节, 戏剧节, 喜庆, 欢宴, 欢乐//adj.节日的, 快乐的"
fetch,[fetF],"vt.接来, 取来, 带来, 售得, 引出, 吸引, 到达, 演绎出//vi.取物, 绕道而行n.取得, 拿, 诡计, 魂"
fever,[5fi:vE],"n.发烧, 发热, 热病, 狂热, 高度兴奋//v.(使)发烧, (使)患热病, (使)狂热"
few,[fju:],"adj.很少的, 不多的, 少数的//n.[表示否定]很少数, 几乎没有"
fibre,[5faibE],"n.纤维, 构造, 纤维制品, [植]须根"
fiction,[5fikFEn],"n.虚构, 编造, 小说"
field,[fi:ld],"n.原野, 旷野, 领域, (一块)田地, 牧场, 域, 战场, 运动场//vt.把(谷物等)暴晒于场上, 使上场//vi.担任场外队员//adj.田间的, 野生的, 野外的, 田赛的//扫描场"
fierce,[fiEs],"adj.凶猛的, 猛烈的, 热烈的, 暴躁的<美>极讨厌的, 难受的, <英方>精力旺盛的"
fifteen,[5fif5ti:n],adj.十五
fifth,[fifW],adj.第五的
fifty,[5fifti],adj.五十
fight,[fait],"n.打架, 战斗, 斗志//vi.打仗, 搏斗, 对抗, 打架//vt.与...打仗, 指挥战斗, 反对...提案"
figure,[5figE],"n.外形, 轮廓, 体形, 图形, 画像, 数字, 形状, 身份//vt.描绘, 塑造, 表示, 象征, 演算, 认为//vi.出现, 考虑, 出名, 扮演角色"
file,[fail],"n.文件, 档案, 文件夹, 卷宗, 锉刀//vt.把...归档, 提出(申请等), 锉, 琢磨//vi.列队行进, 用锉刀锉"
fill,[fil],"vt.装满, 注满, 充满, 填充, 弥漫, 供应, 供给, 满足//vi.充满//n.满足, 饱, 充分, 填方//v.填充"
film,[film],"n.薄膜, 膜层, 胶卷, 影片, 薄雾, 轻烟, 电影//vt.在...上覆以薄膜, 拍成电影//vi.生薄膜, 变成朦胧, 拍电影"
filter,[5filtE],"n.滤波器, 过滤器, 滤光器, 筛选//vt.过滤, 渗透, 用过滤法除去//vi.滤过, 渗入, (消息等)走漏, 慢慢传开"
final,[5fainEl],"n.结局, 决赛, 期末考试, <口>报纸(在一天中)最晚版//adj.最后的, 最终的, 决定性的"
finally,[5fainEli],"adv.最后, 终于, 不可更改地, 决定性地"
finance,[fai5nAns; fi-],"n.财政, 金融, 财政学//vt.供给...经费, 负担经费//vi.筹措资金"
financial,[fai5nAnFEl; 7fi-],"adj.财政的, 金融的"
find,[faind],"vt.找到, 发现, 感到, 查明, 得到, 认为, 见到...的存在//vi.裁决//n.发现//[计] 在文件中查找指定的字符串"
finding,[5faindiN],"n.发现, 发现物, 决定, [律]裁决"
fine,[fain],"adj.美好的, 优良的, 杰出的, 精美的, 杰出的, 细, 纤细, 纯粹//n.罚款, 罚金, 晴天, 精细//vt.罚款, 精炼, 澄清//vi.变清, 变细//adv.<口>很好, 妙, [常用于构成复合词]细微地, 精巧地"
finger,[5fiNgE],"n.手指(尤指大拇指以外的手指), 指状物, 指针//v.用手指拨弄, 伸出"
finish,[5finiF],"n.完成, 结束, 磨光, 末道漆, 完美//vt.完成, 结束, 用完, 毁掉, 使完美//vi.结束, 终结, 停止, 终止"
fire,[5faiE],"n.火, 炉火, 火灾, 失火, 闪光, 炮火, 热情, 激情//vt.点燃, 烧制, 使发光, 给(炉子等)加燃料, 放枪, 激动, <口>解雇//vi.开枪, 射击, 着火, 烧火, 激动"
fireman,[5faiEmEn],"n.救火队员, 消防队员"
firm,[fE:m],"n.公司, (合伙)商号//adj.结实的, 坚硬的, 坚定的, 坚固的, 牢固的, 稳固的, 严格的//vt.使牢固, 使坚定//vi.变稳固, 变坚实//adv.稳固地, 坚定地"
first,[fE:st],"adv.首先, 最初, 第一(列举条目等用), 优先//adj.第一的//num.第一(个)//n.开始, 第一, (比赛)冠军"
fish,[fiF],"n.鱼, 鱼肉, 鱼类, 接合板//vt.钓, 钓鱼, 查出, 用接合板连接//vi.捕鱼, 钓鱼, 用钩捞取, 间接探听, 拉摸索寻找"
fisherman,[5fiFEmEn],"n.渔民, 渔夫"
fit,[fit],"n.突然发作, 适合, 痉挛, 一阵//adj.合适的, 恰当的, 健康的, ,准备好的//vt.适合, 安装, 使合身, 使适应, 使合格//vi.适合, 符合"
five,[faiv],"num.五, 五个(人或物)//n.五个一组, <口>五厘息金的证券"
fix,[fiks],"vt.使固定, 装置, 修理, 准备, 安装, 凝视, 整理, 牢记//vi.固定, 注视, 决定, 选定, 确定//n.困境, 方位, 贿赂"
flag,[flAg],"n.旗, 标记//v.标记"
flame,[fleim],"n.火焰, 光辉, 光芒, 热情, 激情"
flash,[flAF],"[计]Macromedia 公司开发的动画编辑工具//n.闪光, 闪现, 一瞬间//vi.闪光, 闪现, 反射, 使迅速传便//vt.使闪光, 反射//adj.闪光的, 火速的"
flat,[flAt],"adj.平坦的, 扁平的, 单调的, 倒下的, 浅的, 干脆的, 无聊的, 无力的//adv.平直地, 仰卧地, 恰恰, 正好, 断然地//n.平面, 平地, 一层, 公寓//v.(使)变平, (使)降半音"
flavour,[5fleivE],"n.滋味, 香味"
fleet,[fli:t],"n.舰队(尤指有固定活动地区的舰队), 港湾, 小河//adj.快速的, 敏捷的, 浅的//adv.浅//vt.消磨//vi.疾驰, 飞逝, 掠过"
flesh,[fleF],"n.肉, (供食用的)兽肉, 肉体, 肉欲, 果肉, 蔬菜的嫩部, 亲属, 人体//vt.以肉喂(猎犬等), 使肥, 赋以血肉//vi.长胖"
flexible,[5fleksEbl],"adj.柔韧性, 易曲的, 灵活的, 柔软的, 能变形的, 可通融的"
flight,[flait],"n.飞行, 逃走, 飞跃, 飞机的航程, 班机, 追逐, 楼梯的一段, 射程//vi.成群飞行, 迁徙//vt.射击(飞禽), 使惊飞"
float,[flEut],"n.漂流物, 浮舟, 漂浮, 浮萍, 彩车//vi.浮动, 飘浮, 散播, 摇摆, 漂浮, 动摇(计划等)付诸实行//vt.使漂浮, 容纳, 淹没, 发行, 实行, 用水注满"
flock,[flCk],"n.羊群, (禽、畜等的)群, 大量, 众多//v.聚结"
flood,[flQd],"n.洪水, 水灾, (因雨)涨潮, [诗]水//vt.淹没, 使泛滥, 注满, 充满//vi.被水淹, 溢出, 涌进, 喷出, 涌出"
floor,[flC:; flCE],"n.(房间, 走廊等的)地面, 地板, 基底, (室内的)场地, 层, 海底, 议员席//vt.在...上铺(地板), 击倒, (被困难)难倒"
flour,[5flauE],n.面粉
flourish,[5flQriF],"vi.繁荣, 茂盛, 活跃, 手舞足蹈, 兴旺, 处于旺盛时期//vt.挥动, 夸耀//n.茂盛, 兴旺, 华饰, 繁荣"
flow,[flEu],"n.流程, 流动, (河水)泛滥, 洋溢//vi.流动, 涌流, 川流不息, 飘扬//vt.溢过, 淹没"
flower,[5flauE],"n.花, 开花的植物, 花卉, 精华, 盛时//vi.开花, 旺盛, 成熟//vt.用花装饰, 使开花"
fluent,[5flu(:)Ent],"adj.流利的, 流畅的"
fluid,[5flu(:)id],"n.流动性, 流度//adj.流动的, 不固定的, 可改变的, 可另派用场的, 流畅的"
fly,[flai],"n.苍蝇, 两翼昆虫, 飞行//vi.飞翔, 飘扬, 溃逃//vt.飞越, 使飘扬, 逃脱//adj.机敏的, 敏捷的"
focus,[5fEukEs],"n.(兴趣活动等的)中心, 焦点, 焦距, [医]病灶, [地](地震的)震源//vi.聚焦, 注视//vt.使集中在焦点上, 定焦点, 调焦, 集中"
fog,[fCg],"n.雾, 烟雾, 尘雾, 迷惑, 苔藓//vi.被雾笼罩, 变模糊//vt.使困惑, 以雾笼罩"
fold,[fEuld],"n.折, 羊栏, 折痕, 信徒//vt.折叠, 包, 合拢, 抱住, 笼罩, 调入, 交迭//vi.折叠起来, 彻底失败"
folk,[fEuk],"n.人们, 亲属(复数), 民族//adj.民间的"
follow,[5fClEu],"vt.跟随, 追随, 沿...而行, 理解, 遵循, 从事, 追求, 注视//vi.跟随, 接着//n.跟随, 追随"
following,[5fClEuiN],"n.下列各项, 部下, 党羽//adj.下列的, 其次的//prep.在...之后"
fond,[fCnd],"adj.[只作表语]喜爱的, 多情的, 喜欢的, 宠爱的, 温柔的"
food,[fu:d],"n.食物, 养料"
fool,[fu:l],"n.愚人, 白痴, 莽汉, 受骗者, 奶油拌水果//vt.愚弄, 欺骗, 浪费//vi.干傻事, 开玩笑, 游荡//adj.傻的"
foolish,[5fu:liF],"adj.愚蠢的, 傻的, 笨的, 卤莽的, 可爱的"
foot,[fut],"n.足, 底部, 英尺, 音步(英诗), 步调, 步兵, 末尾//vt.走在...上, 支付, 给...换底, 结算//vi.步行, 跳舞, 总计"
football,[5futbC:l],"n.足球, 橄榄球"
footstep,[5futstep],"n.脚步, 脚步声, 一步跨出去的距离"
for,[fC:; fE],"prep.(表示目的)为了, 因为, 至于, 对于, 适合于//conj.因为"
forbid,[fE5bid],"vt.禁止, 不许//v.禁止"
force,[fC:s],"n.力量, 武力, 精力, 魄力, 势力, 暴力, [复]军队, 影响力//vt.强制, 强加, (用武力)夺取, 促使, 推动, 施加压力"
forecast,[5fC:kB:st],"n.先见, 预见, 预测, 预报//vt.预想, 预测, 预报, 预兆"
forehead,[5fCrid; 5fC:hed],"n.前额, (任何事物的)前部"
foreign,[5fCrin],"adj.外国的, 外交的, 外国产的, 外来的, [医]异质的, 不相关的"
foreigner,[5fCrinE],"n.外国人, 外地人"
forest,[5fCrist],"n.森林, 林木, <英>御猎场//adj.森林的, 住在森林中的//vt.植树于"
forever,[fE5revE],"adv.永远, 永恒, 永久, 常常, 始终"
forge,[fC:dV],"v.稳步前进, 铸造, 伪造"
forget,[fE5get],"vt.忘记, 忽略//vi.忘记, 忘形, 忘乎所以"
forgive,[fE5giv],"vt.原谅, 饶恕, 宽免(某人)之债务"
fork,[fC:k],"n.叉, 耙, 叉形物, 餐叉"
form,[fC:m],"n.形状, 形态, 外形, 表格, 形式//v.形成, 构成, 排列, (使)组成"
formal,[5fC:mEl],"adj.外形的, 正式的, 合礼仪的, 形式的, 整齐匀称的//n.正式的社交活动"
formation,[fC:5meiFEn],"n.形成, 构成, 编队"
former,[5fC:mE],"adj.从前的, 以前的//n.形成者, 创造者, 模型, 样板"
formula,[5fC:mjulE],"n.公式, 规则, 客套语"
forth,[fC:W],"adv.往前, 向外"
fortnight,[5fC:tnait],n.两星期
fortunate,[5fC:tFEnit],"adj.幸运的, 幸福的"
fortunately,[5fC:tFEnEtli],adv.幸运地
fortune,[5fC:tFEn],"n.财富, 运气, 大量财产, 好运, 命运//vt.<古>偶然发生//vt.给...以大宗财富"
forty,[5fC:ti],"num.四十, 40//n.四十岁"
forward,[5fC:wEd],"adj.早的, 迅速的, 前进的//vt.转寄, 促进, 运送//adv.向前地, 向将来//n.[体](足球等)前锋"
found,[faund],"v.建立, 创立, 创办, 使有根据, 铸造, 熔制"
foundation,[faun5deiFEn],"n.基础, 根本, 建立, 创立, 地基, 基金, 基金会"
fountain,[5fauntin],"n.泉水, 喷泉, 源泉"
four,[fC:],"num.四, 四个, 第四(卷,章,叶等) 基金, 基金会"
fourteen,[5fC:5ti:n],num.十四
fox,[fC:ks],"n.狐狸, 狐皮, 狡猾的人//vi.奸狡地行动, 变酸//vt.使变酸, 使生黄斑"
fraction,[5frAkFEn],"n.小部分, 片断, 分数"
fragment,[5frAgmEnt],"n.碎片, 断片, 片段"
frame,[freim],"n.结构, 体格//vt.构成, 设计, 制定, 使适合, 陷害//vi.<英方>有成功希望//n.帧,画面,框架"
framework,[5freimwE:k],"n.构架, 框架, 结构"
frank,[frANk],"adj.坦白的, 率直的, 老实的//vt.免费邮寄//n.免费邮寄特权"
free,[fri:],"adj.自由的, 大方的, 免费的, 免税的, 丰富的, 空闲的//vt.释放, 使自由//adv.自由地, 免费"
freedom,[5fri:dEm],"n.自由, 自主, 直率, 特权"
freeze,[fri:z],"v.(使)结冰, (使)冷冻, 冻结"
freight,[freit],"n.货物, 船货, 运费, 货运//vt.装货, 使充满, 运送"
French,[frentF],"n.法国人, 法语//adj.法国的, 法国人的, 法语的"
frequency,[5fri:kwEnsi],"n.频率, 周率, 发生次数"
frequent,[5fri:kwEnt],"adj.时常发生的, 频繁的"
fresh,[freF],"adj.新鲜的, 无经验的, 生的, 冒失的, 鲜艳的//adv.最新地, 刚刚//n.开始, 泛滥"
friction,[5frikFEn],"n.摩擦, 摩擦力"
Friday,[5fraidi],n.星期五
fridge,[fridV],n.电冰箱
friend,[frend],"n.朋友, 赞助者, 助手"
friendly,[5frendli],"adj.友好的, 友谊的"
friendship,[5frendFip],"n.友谊, 友好"
frighten,[5fraitn],vt.使惊吓//vi.惊恐
frog,[frCg],n.青蛙//vi.捕蛙
from,[frCm; frEm; frm],"prep.从, 今后, 来自, 由于"
front,[frQnt],"n.前面, 开头, 前线, (政治上的)阵线, 态度, 外表//vt.面对, 朝向, 对付//vi.朝向"
frontier,[5frQntjE],"n.国境, 边疆, 边境"
frost,[frCst; frC:st],"n.霜, 霜冻, 严寒//v.结霜"
frown,[fraun],"vi.皱眉, 蹙额, 不赞成, 反对//v.皱眉"
fruit,[fru:t],"n.水果, 果实, 果类, 成果//vi.结果实"
fruitful,[5fru:tful],"adj.果实结得多的, 多产的, 富有成效的"
fry,[frai],"n.油炸食物, 油炸锅, 鱼苗, 鱼秧//v.油炸, 油煎"
fuel,[fjuEl],"n.燃料//vt.加燃料, 供以燃料//vi.得到燃料"
fulfil,[ful5fil],"vt.实践, 履行, 实行, 结束, 满足, 完成, 达到"
full,[ful],"n.全部, 完整//adj.充满的, 完全的, 丰富的, 完美的, 详尽的, 丰满的//adv.完全地, 整整, 十分//vt.把衣服缝得宽大"
fun,[fQn],"n.娱乐, 玩笑, 嬉笑, 有趣的人或事物//vi.开玩笑//adj.供娱乐用的"
function,[5fQNkFEn],"n.官能, 功能, 作用, 职责, 典礼, 仪式, [数]函数//vi.(器官等)活动, 运行, 行使职责"
fund,[fQnd],"n.资金, 基金//v.支助, 投资"
fundamental,[7fQndE5mentl],"adj.基础的, 基本的//n.基本原则, 基本原理"
funeral,[5fju:nErEl],"n.葬礼, 出殡"
funny,[5fQni],"adj.有趣的, 好笑的, 滑稽的, 奇异的, 古怪的//n.滑稽人物"
fur,[fE:],"n.毛皮, 毛, 软毛"
furnace,[5fE:nis],"n.炉子, 熔炉"
furnish,[5fE:niF],"vt.供应, 提供, 装备, 布置//v.供给"
furniture,[5fE:nitFE],"n.家具, 设备, 储藏物"
further,[5fE:TE],"adj.更远的, 更多的, 深一层的//vt.促进, 增进, 助长//adv.更进一步地, 更远地, 此外"
furthermore,[fE:TE5mC:(r)],"adv.此外, 而且"
future,[5fju:tFE],"n.未来, 将来, 前途, 远景//adj.未来的, 将来的"
gain,[gein],"n.财物的增加, 财富的获取, 利润, 腰槽, 收获//vt.得到, 增进, 赚到, 开腰槽于//vi.获利, 增加"
gallon,[5gAlEn],n.加仑
game,[geim],"n.比赛, 游戏, 竞赛, [复]运动会, 玩耍, 比分, 比赛规则, 策略//vi.赌博//adj.勇敢的, 有胆量的, 关于野味的, 跛的"
gang,[gAN],"n.(一)伙, (一)群"
gap,[gAp],"n.缺口, 裂口, 间隙, 缝隙, 差距, 隔阂"
garage,[5gArB:(d)V],"n.汽车间, 修车厂, 车库//v.放入车库"
garden,[5gB:dn],"n.(菜、花)园, 花园"
gardener,[5gB:dnE(r)蕹党? 车库],n.园丁
gas,[gAs],"n.气体, 煤气, 毒气, 汽油, [矿]瓦斯//abbr.[军] Gunners Auxiliary-Sight, 炮长辅助瞄准镜"
gaseous,[5gAsiEs; 5geizjEs],"adj.气体的, 气态的"
gasoline,[5gAsEli:n],n.汽油
gate,[geit],n.大门
gather,[5gATE],"n.集合, 聚集//vi.集合, 聚集, 渐增, 蹙眉, 化脓//vt.使聚集, 搜集, 积聚, 推断"
gauge,[gedV],"n.标准尺, 规格, 量规, 量表//v.测量"
gay,[gei],"adj.欢迎的, <美俚>同性恋的, 放荡的, 快乐的//n.<美俚> 同性恋者, 尤指男性同性者"
gaze,[geiz],"v.盯, 凝视//n.凝视"
general,[5dVenErEl],"n.普通, 将军, 概要//adj.一般的, 普通的, 综合的, 概括的, 全面的, 大体的//n.常规"
generally,[5dVenErEli],"adv.一般, 通常, 一般地"
generate,[5dVenE7reit],"vt.产生, 发生"
generation,[7dVenE5reiFEn],"n.产生, 发生, 一代, 一代人"
generator,[5dVenEreitE],"n.发电机, 发生器"
generous,[5dVenErEs],"adj.慷慨的, 大方的, 有雅量的"
genius,[5dVi:njEs],"n.天才, 天赋, 天才人物"
gentle,[5dVentl],"adj.温和的, 文雅的"
gentleman,[5dVentlmEn],"n.阁下, 先生, 有身分的人, 绅士,男厕所, 男盥洗室"
genuine,[5dVenjuin],"adj.真实的, 真正的, 诚恳的"
geography,[dVi5CgrEfi; 5dViCg-],"n.地理学, 地理"
geometry,[dVi5Cmitri],n.几何学
germ,[dVE:m],"n.微生物, 细菌"
German,[5dVE:mEn],"n.德国人, 德语//adj.德国的, 德国人的, 德语的"
gesture,[5dVestFE],"n.姿态, 手势, 表示//v.作手势, 以手势表示"
get,[get],"vt.获得, 变成, 收获, 使得, 挣得, 受到(惩罚,打击等), 染上, 抓住//vi.到达, 成为, 变得//n.生殖, 幼兽"
ghost,[gEust],"n.鬼, 幽灵"
giant,[5dVaiEnt],"n.巨人, 大力士, 巨大的动物或植物, 伟人, 天才//adj.庞大的, 巨大的"
gift,[gift],"n.赠品, 礼物, 天赋, 才能"
girl,[gE:l],"n.女孩, 少女, 女仆, (商店等的)女工作人员"
give,[giv],"n.弹性, 可弯性//vt.给, 授予, 供给, 献出, 让步, 引起, 发表, 捐助//vi.捐赠, 让步"
glad,[glAd],"adj.高兴的, 乐意的, 感到高兴的"
glance,[glB:ns],"vi.扫视, 匆匆一看//n.一瞥, 眼光, 匆匆一看"
glass,[glB:s],"n.玻璃, 玻璃制品, 玻璃杯, 镜子, 眼镜, 望远镜, 气压计, 晴雨表//vt.装玻璃于, 反映//vi.成玻璃状"
glimpse,[glimps],"n.一瞥, 一看//v.瞥见"
globe,[glEub],"n.球体, 地球仪, 地球, 世界"
glorious,[5glC:riEs],"adj.光荣的, 显赫的"
glory,[5glC:ri],"n.荣誉, 光荣"
glove,[glQv],n.手套//vt.戴手套
glow,[glEu],"vi.发光, 发热"
glue,[glu:],"n.胶, 胶水//vt.胶合, 粘贴, 粘合"
go,[gEu],"vi.离去, 走, 进行, 变成, 趋于, 达到, 求助于, 诉诸//vt.以...打赌, 忍受, 出产//n.去, 进行"
goal,[gEul],"n.目的, 目标, 守门员, 球门, (球赛等的)得分"
goat,[gEut],"n.山羊, <俚>色鬼, <美俚>替罪羊"
God,[gCd],"n.神, 上帝, 神像, 偶像//vt.使神化"
gold,[gEuld],"n.黄金, 金币//adj.金的, 金制的"
golden,[5gEuldEn],"adj.金色的, 金黄色的, 贵重的, 极好的, 黄金的"
good,[gud],"n.好, 好事, 慷慨的行为, 好处, 利益//adj.优良的, 上等的, 虔诚的, 愉快的, 慈善的, 好心的, 有益的"
goodbye,[7gud`bai],int.再见
goods,[gudz],"n.货物, <美俚>工具"
goose,[gu:s],"n.鹅, 雌鹅, 鹅肉, (裁缝用的有长曲柄的)熨斗//vt.突然加大油门, 嘘骂"
govern,[5gQvEn],"v.统治, 支配, 管理"
government,[5gQvEnmEnt],"n.政府, <英>内阁, 政治, 政体"
governor,[5gQvEnE],"n.统治者, 管理者, 地方长官, 主管人员"
grace,[greis],"n.优美, 雅致, 优雅"
graceful,[5greisful],adj.优美的
grade,[greid],"n.等级, 级别//vt.评分, 评级//v.分等级"
gradual,[5grAdjuEl],"adj.逐渐的, 逐步的, 渐进的"
graduate,[5grAdjueit; -dVueit],"n.(大学)毕业生, 研究生//v.(使)(大学)毕业"
grain,[grein],"n.谷物, 谷类, 谷粒, 细粒, 颗粒, 粮食"
gram,[grAm],"n.克, [植]鹰嘴豆(用作饲料)"
